05-09-2015-14-09-54: Application is launched
05-09-2015-14-09-54: OS Platform: win32
05-09-2015-14-09-54: OS Type: Windows_NT
05-09-2015-14-09-54: OS Release: 6.1.7601
05-09-2015-14-09-54: OS Arch: ia32
05-09-2015-14-09-54: OS Hostname: Denis-PC
05-09-2015-14-09-54: Begin initialization
05-09-2015-14-09-54: Chosen language file is ru
05-09-2015-14-09-54: Extended template is initialized
05-09-2015-14-09-54: Staring initialization of base
05-09-2015-14-09-54: Begin parsing lang-JSON
05-09-2015-14-09-54: Basic template is initialized
05-09-2015-14-09-54: Starting initialization of basic template
05-09-2015-14-09-54: starting initialization of extended template
05-09-2015-14-09-55: base is opened
05-09-2015-14-09-55: locations is formed
05-09-2015-14-10-00: Export modal is opened
05-09-2015-14-10-06: Starting export to excel
05-09-2015-14-10-06: Excel file is created
05-09-2015-14-10-06: Sheet Абакан  Республика Хакасия is created
05-09-2015-14-10-06: Sheet Анадырь  Чукотский АО is created
05-09-2015-14-10-06: Sheet Архангельск  Архангельская область is created
05-09-2015-14-10-06: Sheet Астрахань  Астраханская область is created
05-09-2015-14-10-06: Sheet Барнаул  Алтайский край is created
05-09-2015-14-10-06: Sheet Белгород  Белгородская область is created
05-09-2015-14-10-06: Sheet Биробиджан  Еврейская АО is created
05-09-2015-14-10-06: Sheet Благовещенск  Амурская область is created
05-09-2015-14-10-06: Sheet Брянск  Брянская область is created
05-09-2015-14-10-06: Sheet Владивосток  Приморский край is created
05-09-2015-14-10-06: Sheet Владикавказ  Республика Северная Осетия is created
05-09-2015-14-10-06: Sheet Владимир  Владимирская область is created
05-09-2015-14-10-06: Sheet Волгоград  Волгоградская область is created
05-09-2015-14-10-06: Sheet Вологда  Вологодская область is created
05-09-2015-14-10-06: Sheet Воронеж  Воронежская область is created
05-09-2015-14-10-06: Sheet Горно-Алтайск  Республика Алтай is created
05-09-2015-14-10-06: Sheet Грозный  Чеченская Республика is created
